"event_id","disease","serotype","lat","lon","locality","country","region","location","observation_date","report_date","display_date","species","diagnosis_source","humans_affected","humans_deaths"
294234,"Influenza - Avian","H5N8 HPAI",48.938022,9.022056,"Oberriexingen","Germany","Europe","Oberriexingen, Germany, Europe","2021-03-22","2021-04-12","2021-03-22","Domestic,Unspecified bird","OIE",,
294233,"Influenza - Avian","H5N8 HPAI",48.074425,8.256098,"Furtwangen im Schwarzwald","Germany","Europe","Furtwangen im Schwarzwald, Germany, Europe","2021-03-24","2021-04-12","2021-03-24","Domestic,Unspecified bird","OIE",,
294232,"Influenza - Avian","H5N8 HPAI",48.620428,8.845992,"Herrenberg","Germany","Europe","Herrenberg, Germany, Europe","2021-03-24","2021-04-12","2021-03-24","Domestic,Unspecified bird","OIE",,
294231,"Influenza - Avian","H5N8 HPAI",47.932427,7.814155,"Sölden","Germany","Europe","Sölden, Germany, Europe","2021-03-29","2021-04-12","2021-03-29","Domestic,Unspecified bird","OIE",,
294230,"Influenza - Avian","H5N8 HPAI",48.959803,9.5005,"Auenwald","Germany","Europe","Auenwald, Germany, Europe","2021-03-23","2021-04-12","2021-03-23","Domestic,Unspecified bird","OIE",,
294229,"Influenza - Avian","H5N8 HPAI",48.01177,7.64117,"Breisach am Rhein","Germany","Europe","Breisach am Rhein, Germany, Europe","2021-03-26","2021-04-12","2021-03-26","Domestic,Unspecified bird","OIE",,
294228,"Influenza - Avian","H5N8 HPAI",47.986828,8.114143,"St. Märgen","Germany","Europe","St. Märgen, Germany, Europe","2021-03-24","2021-04-12","2021-03-24","Domestic,Unspecified bird","OIE",,
294227,"Influenza - Avian","H5N8 HPAI",48.093514,7.726645,"Eichstetten am Kaiserstuhl","Germany","Europe","Eichstetten am Kaiserstuhl, Germany, Europe","2021-03-25","2021-04-12","2021-03-25","Domestic,Unspecified bird","OIE",,
294226,"Influenza - Avian","H5N8 HPAI",48.041558,7.636533,"Ihringen","Germany","Europe","Ihringen, Germany, Europe","2021-03-24","2021-04-12","2021-03-24","Domestic,Unspecified bird","OIE",,
294225,"Influenza - Avian","H5N8 HPAI",47.672977,7.883403,"Schopfheim","Germany","Europe","Schopfheim, Germany, Europe","2021-03-22","2021-04-12","2021-03-22","Domestic,Unspecified bird","OIE",,
294224,"Influenza - Avian","H5N8 HPAI",47.602885,7.868727,"Schwörstadt","Germany","Europe","Schwörstadt, Germany, Europe","2021-03-22","2021-04-12","2021-03-22","Domestic,Unspecified bird","OIE",,
294223,"Influenza - Avian","H5N8 HPAI",47.988844,7.696089,"Freiburg im Breisgau","Germany","Europe","Freiburg im Breisgau, Germany, Europe","2021-03-29","2021-04-12","2021-03-29","Domestic,Unspecified bird","OIE",,
294222,"Influenza - Avian","H5N8 HPAI",47.903022,9.833333,"Bad Wurzach","Germany","Europe","Bad Wurzach, Germany, Europe","2021-04-01","2021-04-12","2021-04-01","Domestic,Unspecified bird","OIE",,
294221,"Influenza - Avian","H5N8 HPAI",47.872837,8.237745,"Lenzkirch","Germany","Europe","Lenzkirch, Germany, Europe","2021-03-30","2021-04-12","2021-03-30","Domestic,Unspecified bird","OIE",,
294220,"Influenza - Avian","H5N8 HPAI",47.62632,7.99907,"Rickenbach","Germany","Europe","Rickenbach, Germany, Europe","2021-03-25","2021-04-12","2021-03-25","Domestic,Unspecified bird","OIE",,
