Nº,Fecha,Comarca,ID CG,Nº brotes,Nº mov. Riesgo,Grado alerta,Temperatura estimada,Supervivencia del virus en días
1,33,REINOSA,SP39059,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,34,SIERO,SP33066,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,34,SIERO,SP33066,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,35,SEGRIA (LLEIDA),SP25120,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,35,SEGRIA (LLEIDA),SP25120,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,36,CANTILLANA (VEGA DE SEVILLA),SP41023,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,36,CANTILLANA (VEGA DE SEVILLA),SP41023,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,37,SIGUENZA,SP19257,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,37,SIGUENZA,SP19257,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,38,CASTUERA,SP06036,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,38,CASTUERA,SP06036,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,39,GUADALAJARA,SP19130,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
